"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Arealva";"2019";"22593";"1819";"3596";"8127";"6822";"2229";3503406
"Areias";"2015";"3698";"396";"1";"1757";"913";"630";3503505
"Areias";"2016";"3900";"382";"1";"1982";"905";"631";3503505
"Areias";"2017";"4190";"415";"1";"2164";"982";"628";3503505
"Areias";"2018";"4459";"484";"1";"2031";"1324";"618";3503505
"Areias";"2019";"4749";"491";"2";"2087";"1518";"651";3503505
"Areiópolis";"2015";"10968";"1496";"531";"6605";"285";"2051";3503604
"Areiópolis";"2016";"10796";"1490";"467";"6563";"291";"1986";3503604
"Areiópolis";"2017";"10882";"1568";"458";"6656";"273";"1928";3503604
"Areiópolis";"2018";"11049";"1585";"525";"6710";"273";"1957";3503604
"Areiópolis";"2019";"11211";"1587";"466";"6806";"328";"2024";3503604
"Ariranha";"2015";"21390";"1576";"8581";"7166";"1897";"2169";3503703
"Ariranha";"2016";"19653";"1527";"7731";"7024";"1238";"2134";3503703
"Ariranha";"2017";"19649";"1536";"7559";"7284";"1068";"2202";3503703
"Ariranha";"2018";"20137";"1573";"7674";"7451";"1153";"2285";3503703
"Ariranha";"2019";"20377";"1539";"7537";"7746";"1231";"2323";3503703
"Artur Nogueira";"2015";"93044";"16958";"28028";"32065";"5871";"10123";3503802
"Artur Nogueira";"2016";"105203";"16077";"37537";"32832";"7823";"10933";3503802
"Artur Nogueira";"2017";"106374";"16761";"34038";"35104";"8239";"12232";3503802
"Artur Nogueira";"2018";"110331";"16706";"37552";"35800";"8389";"11884";3503802
"Artur Nogueira";"2019";"98068";"17079";"25247";"36708";"6286";"12749";3503802
"Arujá";"2015";"245503";"43764";"118829";"68958";"2626";"11326";3503901
"Arujá";"2016";"233491";"39325";"109820";"69980";"2603";"11764";3503901
"Arujá";"2017";"241874";"38907";"113912";"73759";"2549";"12747";3503901
"Arujá";"2018";"253448";"42926";"121827";"74449";"2415";"11831";3503901
"Arujá";"2019";"263877";"48224";"125244";"76336";"2257";"11816";3503901
"Aspásia";"2015";"2790";"282";"13";"1000";"1059";"435";3503950
"Aspásia";"2016";"2954";"264";"13";"1021";"1225";"432";3503950
"Aspásia";"2017";"3201";"282";"11";"1127";"1315";"466";3503950
"Aspásia";"2018";"3547";"299";"11";"1185";"1587";"465";3503950
"Aspásia";"2019";"4171";"288";"12";"1233";"2154";"485";3503950
"Assis";"2015";"182880";"54544";"12801";"79551";"5962";"30022";3504008
"Assis";"2016";"179914";"52909";"10238";"81787";"5700";"29281";3504008
"Assis";"2017";"183955";"54395";"10597";"83141";"5841";"29980";3504008
"Assis";"2018";"185245";"53110";"10084";"85017";"5979";"31056";3504008
"Assis";"2019";"193334";"55322";"10839";"90875";"5365";"30933";3504008
"Atibaia";"2015";"418858";"93954";"135633";"132632";"28638";"28002";3504107
"Atibaia";"2016";"425506";"93095";"142501";"133689";"27628";"28594";3504107
"Atibaia";"2017";"469185";"102205";"165765";"142616";"27801";"30797";3504107
"Atibaia";"2018";"491928";"101736";"188421";"144738";"26819";"30213";3504107
"Atibaia";"2019";"509656";"106316";"194521";"151404";"25997";"31417";3504107
"Auriflama";"2015";"24332";"4819";"2477";"11291";"2566";"3180";3504206
"Auriflama";"2016";"23054";"4772";"1826";"10878";"2462";"3116";3504206
"Auriflama";"2017";"23761";"4923";"1483";"11485";"2668";"3202";3504206
"Auriflama";"2018";"24273";"5289";"1476";"11643";"2640";"3225";3504206
"Auriflama";"2019";"24961";"5393";"1394";"12140";"2751";"3283";3504206
"Avaí";"2015";"7297";"942";"202";"3023";"2111";"1020";3504305
"Avaí";"2016";"7003";"850";"138";"3031";"2068";"916";3504305
"Avaí";"2017";"6980";"853";"3";"3037";"2195";"892";3504305
"Avaí";"2018";"7533";"916";"232";"3157";"2279";"949";3504305
"Avaí";"2019";"8255";"1138";"312";"3328";"2513";"964";3504305
"Avanhandava";"2015";"14282";"1632";"1768";"7616";"877";"2389";3504404
"Avanhandava";"2016";"13686";"1551";"1454";"7397";"765";"2519";3504404
"Avanhandava";"2017";"13717";"1579";"1163";"7653";"795";"2527";3504404
"Avanhandava";"2018";"14343";"1623";"1149";"7939";"879";"2754";3504404
"Avanhandava";"2019";"14960";"1683";"1178";"8328";"938";"2833";3504404
"Avaré";"2015";"171677";"34317";"30784";"64849";"9563";"32164";3504503
"Avaré";"2016";"180963";"33258";"23738";"66009";"25510";"32448";3504503
"Avaré";"2017";"181018";"34253";"19585";"67469";"26347";"33365";3504503
"Avaré";"2018";"181516";"34539";"18872";"68920";"26215";"32970";3504503
"Avaré";"2019";"170019";"36251";"20027";"71387";"9742";"32612";3504503
"Bady Bassitt";"2015";"34205";"5377";"2554";"16730";"4873";"4672";3504602
"Bady Bassitt";"2016";"32483";"4746";"2621";"16678";"3371";"5067";3504602
"Bady Bassitt";"2017";"32741";"4576";"2191";"17600";"3148";"5226";3504602
"Bady Bassitt";"2018";"34154";"4720";"2153";"18903";"2883";"5495";3504602
"Bady Bassitt";"2019";"38571";"5520";"2860";"21245";"2886";"6059";3504602
"Balbinos";"2015";"4113";"196";"655";"1022";"270";"1970";3504701
"Balbinos";"2016";"4365";"179";"880";"1044";"243";"2019";3504701
"Balbinos";"2017";"4241";"172";"730";"1076";"240";"2023";3504701
"Balbinos";"2018";"4217";"179";"677";"1122";"242";"1998";3504701
"Balbinos";"2019";"4216";"187";"733";"1148";"250";"1898";3504701
"Bálsamo";"2015";"20991";"1795";"7351";"7792";"1657";"2395";3504800
"Bálsamo";"2016";"20551";"1706";"6905";"7825";"1689";"2426";3504800
"Bálsamo";"2017";"20941";"2080";"6432";"8079";"1767";"2583";3504800
"Bálsamo";"2018";"21454";"2280";"6225";"8407";"1854";"2689";3504800
"Bálsamo";"2019";"23394";"2410";"7534";"8865";"1788";"2797";3504800
"Bananal";"2015";"22580";"2336";"10061";"6348";"1965";"1870";3504909
"Bananal";"2016";"20138";"2195";"7872";"6392";"1789";"1890";3504909
"Bananal";"2017";"18720";"2174";"5967";"6803";"1875";"1902";3504909
"Bananal";"2018";"17453";"2168";"4640";"6823";"1920";"1903";3504909
"Bananal";"2019";"17469";"2403";"4245";"6897";"2032";"1892";3504909
"Barão de Antonina";"2015";"3506";"445";"36";"1801";"584";"641";3505005
"Barão de Antonina";"2016";"3413";"415";"23";"1769";"578";"629";3505005
"Barão de Antonina";"2017";"3671";"413";"29";"1958";"666";"605";3505005
"Barão de Antonina";"2018";"3865";"483";"27";"1997";"666";"692";3505005
"Barão de Antonina";"2019";"4097";"544";"18";"2118";"692";"725";3505005
"Barbosa";"2015";"10290";"1515";"1929";"4630";"986";"1230";3505104
"Barbosa";"2016";"9685";"1397";"1549";"4585";"918";"1236";3505104
"Barbosa";"2017";"10260";"1420";"1778";"4818";"918";"1326";3505104
"Barbosa";"2018";"9984";"1325";"1256";"5005";"1017";"1381";3505104
"Barbosa";"2019";"10324";"1338";"1171";"5183";"1061";"1570";3505104
"Bariri";"2015";"80681";"12358";"22667";"28440";"8965";"8251";3505203
"Bariri";"2016";"78399";"11873";"19005";"28239";"10665";"8618";3505203
"Bariri";"2017";"80768";"11423";"19350";"28836";"12445";"8713";3505203
"Bariri";"2018";"81759";"11624";"18932";"29371";"12858";"8973";3505203
"Bariri";"2019";"83447";"12462";"17414";"30846";"13272";"9453";3505203
"Barra Bonita";"2015";"84916";"16819";"19618";"31471";"778";"16230";3505302
"Barra Bonita";"2016";"79621";"15314";"16703";"30988";"640";"15976";3505302
"Barra Bonita";"2017";"85077";"15028";"20969";"31815";"599";"16667";3505302
"Barra Bonita";"2018";"80145";"14926";"14741";"32482";"545";"17451";3505302
"Barra Bonita";"2019";"88646";"14965";"21181";"34067";"660";"17772";3505302
"Barra do Chapéu";"2015";"3256";"429";"22";"1805";"560";"440";3505351
"Barra do Chapéu";"2016";"3318";"411";"30";"1872";"565";"440";3505351
"Barra do Chapéu";"2017";"3272";"395";"30";"1877";"499";"471";3505351
"Barra do Chapéu";"2018";"3397";"454";"27";"1959";"496";"463";3505351
"Barra do Chapéu";"2019";"3883";"460";"20";"2202";"613";"589";3505351
"Barra do Turvo";"2015";"5844";"1180";"58";"3182";"631";"794";3505401
"Barra do Turvo";"2016";"5768";"1170";"50";"3157";"611";"780";3505401
"Barra do Turvo";"2017";"6158";"1214";"55";"3481";"690";"718";3505401
"Barra do Turvo";"2018";"6531";"1343";"56";"3613";"758";"760";3505401
"Barra do Turvo";"2019";"6653";"1299";"56";"3702";"805";"792";3505401
"Barretos";"2015";"333683";"79599";"82723";"113679";"21821";"35861";3505500
"Barretos";"2016";"331308";"77750";"79442";"111338";"25582";"37196";3505500
"Barretos";"2017";"342216";"82423";"78144";"115354";"25677";"40617";3505500
